price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
125.0,26,42.36413,-71.02991,Entire home/apt,29,326,4.96,none,East Boston,1,1.0,HARBORSIDE-Walk to subway,0,t,0,0.0,0
129.0,138,42.32844,-71.09581,Entire home/apt,3,67,4.82,STR-490093,Roxbury,11,1.0,** Fort Hill Inn Private! Minutes to center!**,9,t,54,6966.0,1
168.0,141,42.32802,-71.09387,Entire home/apt,3,56,4.81,STR-491702,Roxbury,11,0.0,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8,t,48,8064.0,1
140.0,29,42.35867,-71.06307,Entire home/apt,91,277,4.69,none,Beacon Hill,4,1.0,Curved Glass Studio/1bd facing Park,0,t,0,0.0,0
166.0,9,42.35173,-71.08685,Entire home/apt,91,218,4.33,none,Back Bay,12,0.0,Bostons Best Rentals -Studio Prestigious Back Bay,0,f,0,0.0,0
202.0,6,42.35061,-71.08787,Entire home/apt,32,117,5.0,none,Back Bay,12,0.0,The Back Bay Nook  -Brownstone in Prestigious Area,1,f,64,12928.0,0
202.0,2,42.36377,-71.05206,Entire home/apt,60,330,4.5,none,North End,12,0.0,The Olive & Vine in The North End-Walk to MGH Tuft,1,f,120,24240.0,0
162.0,51,42.32212,-71.06096,Entire home/apt,30,286,4.3,none,Dorchester,58,3.0,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,0,f,0,0.0,0
323.0,103,42.37754,-71.06642,Entire home/apt,2,173,4.97,STR-454024,Charlestown,1,1.0,Moroccan Decor Suite,2,f,12,3876.0,1
91.0,103,42.31347,-71.11082,Private room,14,341,4.98,STR-551851,Jamaica Plain,1,1.0,Private room & bath - Jamaica Plain,3,t,84,7644.0,1
176.0,143,42.37424,-71.06081,Entire home/apt,29,44,4.67,STR-409822,Charlestown,1,1.0,Garden Studio,3,t,174,30624.0,1
59.0,334,42.29871,-71.05954,Entire home/apt,3,61,4.45,STR-595734,Dorchester,5,0.0,Bright Furnished Room with Separate Entrance,0,f,0,0.0,1
72.0,145,42.32546,-71.08894,Private room,29,233,4.73,STR-415714,Roxbury,1,1.0,Room in geographical heart of Hub,0,t,0,0.0,1
106.0,19,42.35894,-71.0631,Entire home/apt,32,114,4.84,none,Beacon Hill,4,1.0,Bookcase 1bd facing Boston Common,0,t,0,0.0,0
140.0,71,42.37865,-71.06373,Private room,29,365,4.36,STR-415924,Charlestown,1,1.0,Waterfall Room: Bunker Hill B&B,0,f,0,0.0,1
