price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
125.0,26,42.36413,-71.02991,Entire home/apt,29,262,4.96,none,East Boston,1,1.0,HARBORSIDE-Walk to subway,1,t,58,7250.0,0
142.0,137,42.32844,-71.09581,Entire home/apt,3,103,4.82,STR-490093,Roxbury,11,1.0,** Fort Hill Inn Private! Minutes to center!**,13,t,78,11076.0,1
171.0,139,42.32802,-71.09387,Entire home/apt,3,93,4.81,STR-491702,Roxbury,11,0.0,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",11,t,66,11286.0,1
140.0,29,42.35867,-71.06307,Entire home/apt,91,210,4.69,none,Beacon Hill,8,1.0,Curved Glass Studio/1bd facing Park,0,t,0,0.0,0
152.0,9,42.35173,-71.08685,Entire home/apt,91,217,4.33,none,Back Bay,12,0.0,Bostons Best Rentals -Studio Prestigious Back Bay,0,t,0,0.0,0
202.0,5,42.35061,-71.08787,Entire home/apt,32,233,5.0,none,Back Bay,12,0.0,The Back Bay Nook  -Brownstone in Prestigious Area,0,t,0,0.0,0
130.0,2,42.36377,-71.05206,Entire home/apt,32,330,4.5,none,North End,12,0.0,The Olive & Vine in The North End-Walk to MGH Tuft,1,t,64,8320.0,0
161.0,52,42.32212,-71.06096,Entire home/apt,30,264,4.31,none,Dorchester,58,3.0,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,0,f,0,0.0,0
272.0,103,42.37754,-71.06642,Entire home/apt,2,77,4.97,STR-454024,Charlestown,1,1.0,Moroccan Decor Suite,2,f,12,3264.0,1
90.0,103,42.31347,-71.11082,Private room,14,235,4.98,STR-551851,Jamaica Plain,1,1.0,Private room & bath - Jamaica Plain,4,t,112,10080.0,1
100.0,142,42.37424,-71.06081,Entire home/apt,29,239,4.67,STR-409822,Charlestown,1,1.0,Garden Studio,3,t,174,17400.0,1
86.0,334,42.29871,-71.05954,Private room,29,362,4.45,STR-594613,Dorchester,5,3.0,"Private Room, shared bath in Victorian House/ 1",1,f,58,4988.0,1
80.0,145,42.32546,-71.08894,Private room,29,209,4.73,STR-415714,Roxbury,1,1.0,Room in geographical heart of Hub,0,f,0,0.0,1
100.0,19,42.35894,-71.0631,Entire home/apt,32,170,4.84,none,Beacon Hill,8,1.0,Bookcase 1bd facing Boston Common,0,t,0,0.0,0
135.0,49,42.35689,-71.06206,Entire home/apt,91,261,4.84,none,Downtown,8,1.0,Corner 1 bed facing Golden Dome,0,t,0,0.0,0
140.0,71,42.37865,-71.06373,Private room,29,365,4.36,STR-415924,Charlestown,1,1.0,Waterfall Room: Bunker Hill B&B,0,f,0,0.0,1
90.0,304,42.29871,-71.05954,Private room,3,361,4.41,STR-594613,Dorchester,5,0.0,Private room in Victorian house,4,f,24,2160.0,1
252.0,307,42.32806,-71.09423,Entire home/apt,3,101,4.71,STR-446659,Roxbury,11,2.0,Fort Hill Inn  2 bed Duplex ApT!  Location!,32,t,192,48384.0,1
68.0,65,42.31331,-71.12061,Private room,30,262,4.97,none,Jamaica Plain,1,1.0,"Great Boston neighborhood , Jamaica Plain",6,t,255,17340.0,0
135.0,555,42.31533,-71.11025,Entire home/apt,3,64,4.89,STR-409453,Jamaica Plain,2,1.0,Serene Studio in a Perfect Location,53,t,255,34425.0,1
57.0,217,42.29871,-71.05954,Private room,29,319,4.45,STR-580274,Dorchester,5,3.0,Large bedroom in Victorian House/Room D,1,f,58,3306.0,1
108.0,322,42.31685,-71.10867,Entire home/apt,3,145,4.89,STR-545902,Jamaica Plain,1,0.0,Treetop Haven in the City,23,t,138,14904.0,1
318.0,523,42.33255,-71.04125,Entire home/apt,2,307,4.85,STR-411297,South Boston,1,2.0,BOSTON LUXURY FOR LESS!! NEAR BCEC,44,t,255,81090.0,1
190.0,71,42.33583,-71.05271,Entire home/apt,3,122,4.59,STR-564151,South Boston,1,2.0,Your cozy stay in South Boston,16,f,96,18240.0,1
224.0,121,42.29871,-71.05954,Entire home/apt,29,362,4.36,STR-594613,Dorchester,5,2.0,"Beautiful Townhouse, 2 BR & 2 Bath",1,f,58,12992.0,1
51.0,102,42.29871,-71.05954,Private room,1,286,4.62,STR-580274,Dorchester,5,1.0,Cozy Room in Beautiful Victorian House /E,22,f,132,6732.0,1
76.0,425,42.31658,-71.11012,Private room,5,209,4.84,STR-459697,Jamaica Plain,1,1.0,"Sweet Little House in JP, Boston",23,t,230,17480.0,1
113.0,64,42.32212,-71.06096,Entire home/apt,30,265,4.66,none,Dorchester,58,2.0,230B4 | The Penthouse Redline | 2BR 1B w/AC | Pvt,2,f,120,13560.0,0
153.0,58,42.32212,-71.06095,Entire home/apt,30,252,4.43,none,Dorchester,58,3.0,230B3  | The Mayhew Redline | 3BR 1B w/AC | Pvt,0,f,0,0.0,0
150.0,43,42.29192,-71.15407,Entire home/apt,30,219,4.56,none,West Roxbury,58,3.0,25A2 | The Alameda 2 | 2BR 1BA w/AC & WD | Private,0,f,0,0.0,0
188.0,127,42.37579,-71.04981,Entire home/apt,2,300,4.8,STR-416892,Charlestown,3,1.0,Houseboat in Boston Harbor,14,f,84,15792.0,1
